U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,135840,"North Port-Bradenton-Sarasota, FL",108.0,114.0,87.0,106.0,103.0,109.0,110.0,109.0,95.0,93.0,130.0,133.0,171.0,151.0,145.0,141.0,1900.0
Metropolitan Statistical Area,136780,"Oshkosh-Neenah, WI",128.0,117.0,132.0,146.0,140.0,124.0,101.0,105.0,86.0,90.0,145.0,129.0,117.0,116.0,114.0,98.0,1888.0
Metropolitan Statistical Area,135380,"New Orleans-Metairie-Kenner, LA",155.0,161.0,169.0,120.0,120.0,70.0,115.0,85.0,78.0,86.0,100.0,97.0,102.0,131.0,146.0,134.0,1869.0
Metropolitan Statistical Area,138860,"Portland-South Portland-Biddeford, ME",74.0,94.0,102.0,99.0,80.0,111.0,109.0,79.0,74.0,92.0,163.0,133.0,146.0,168.0,164.0,143.0,1831.0
Metropolitan Statistical Area,123540,"Gainesville, FL",101.0,118.0,95.0,101.0,84.0,96.0,114.0,85.0,77.0,114.0,110.0,108.0,127.0,153.0,160.0,187.0,1830.0
Metropolitan Statistical Area,129540,"Lancaster, PA",111.0,114.0,92.0,124.0,134.0,102.0,116.0,95.0,77.0,101.0,120.0,119.0,112.0,121.0,122.0,148.0,1808.0
Metropolitan Statistical Area,136540,"Omaha-Council Bluffs, NE-IA",95.0,88.0,88.0,93.0,88.0,70.0,79.0,79.0,102.0,89.0,103.0,98.0,137.0,156.0,215.0,178.0,1758.0
Metropolitan Statistical Area,116580,"Champaign-Urbana, IL",62.0,57.0,57.0,67.0,95.0,58.0,107.0,97.0,78.0,107.0,121.0,136.0,160.0,165.0,187.0,166.0,1720.0
Metropolitan Statistical Area,148620,"Wichita, KS",97.0,74.0,94.0,107.0,110.0,88.0,120.0,73.0,73.0,88.0,105.0,105.0,132.0,133.0,139.0,110.0,1648.0
Metropolitan Statistical Area,127060,"Ithaca, NY",92.0,85.0,83.0,100.0,105.0,78.0,98.0,87.0,74.0,83.0,123.0,115.0,128.0,127.0,120.0,140.0,1638.0
Metropolitan Statistical Area,129140,"Lafayette, IN",88.0,75.0,85.0,80.0,65.0,69.0,61.0,77.0,59.0,84.0,122.0,101.0,116.0,150.0,187.0,191.0,1610.0
Metropolitan Statistical Area,140420,"Rockford, IL",101.0,104.0,83.0,85.0,59.0,58.0,85.0,91.0,65.0,68.0,93.0,117.0,116.0,140.0,133.0,155.0,1553.0
Metropolitan Statistical Area,122420,"Flint, MI",81.0,84.0,110.0,100.0,87.0,93.0,105.0,90.0,64.0,94.0,84.0,85.0,93.0,108.0,116.0,120.0,1514.0
Metropolitan Statistical Area,149180,"Winston-Salem, NC",82.0,89.0,90.0,78.0,86.0,61.0,69.0,80.0,65.0,72.0,101.0,102.0,120.0,132.0,138.0,147.0,1512.0
Metropolitan Statistical Area,128020,"Kalamazoo-Portage, MI",109.0,113.0,104.0,103.0,101.0,111.0,97.0,67.0,77.0,58.0,73.0,88.0,74.0,105.0,104.0,100.0,1484.0
Metropolitan Statistical Area,149620,"York-Hanover, PA",83.0,81.0,107.0,93.0,72.0,66.0,88.0,68.0,92.0,67.0,113.0,112.0,97.0,90.0,118.0,114.0,1461.0
